t,line,overload_mw,strategy
2,84,21.023161814573086,NO_SCOPF_50%_pmax_sub
3,84,43.60075491027396,NO_SCOPF_50%_pmax_sub
4,81,1.0122151388487737,NO_SCOPF_50%_pmax_sub
4,84,53.880679659048724,NO_SCOPF_50%_pmax_sub
5,81,19.25984345482476,NO_SCOPF_50%_pmax_sub
5,84,64.276195870435,NO_SCOPF_50%_pmax_sub
5,85,7.016195870434785,NO_SCOPF_50%_pmax_sub
5,131,27.23085302866764,NO_SCOPF_50%_pmax_sub
6,81,30.674494607284373,NO_SCOPF_50%_pmax_sub
6,84,70.2870378231255,NO_SCOPF_50%_pmax_sub
6,85,15.787037823125502,NO_SCOPF_50%_pmax_sub
6,131,79.50993053915954,NO_SCOPF_50%_pmax_sub
7,84,30.296208425609734,NO_SCOPF_50%_pmax_sub
8,84,19.84183201570079,NO_SCOPF_50%_pmax_sub
11,60,33.58761217102568,NO_SCOPF_50%_pmax_sub
12,60,54.9972815767963,NO_SCOPF_50%_pmax_sub
13,60,61.12931765258861,NO_SCOPF_50%_pmax_sub
14,60,22.61691157860548,NO_SCOPF_50%_pmax_sub
14,84,13.903469063743614,NO_SCOPF_50%_pmax_sub
15,60,2.7640578677832366,NO_SCOPF_50%_pmax_sub
15,84,20.096526048343776,NO_SCOPF_50%_pmax_sub
16,84,23.196823205099236,NO_SCOPF_50%_pmax_sub
17,84,15.817848120667009,NO_SCOPF_50%_pmax_sub
18,84,19.230461008594943,NO_SCOPF_50%_pmax_sub
18,89,0.14020731435630296,NO_SCOPF_50%_pmax_sub
18,97,16.19623804639764,NO_SCOPF_50%_pmax_sub
18,218,0.14020731435630296,NO_SCOPF_50%_pmax_sub
19,60,4.513336191998121,NO_SCOPF_50%_pmax_sub
19,84,30.30332076766365,NO_SCOPF_50%_pmax_sub
19,86,18.729532526663206,NO_SCOPF_50%_pmax_sub
19,88,27.1066723782111,NO_SCOPF_50%_pmax_sub
19,89,23.012625867325823,NO_SCOPF_50%_pmax_sub
19,95,16.08633039107326,NO_SCOPF_50%_pmax_sub
19,97,42.903009998610514,NO_SCOPF_50%_pmax_sub
19,145,13.300390183831723,NO_SCOPF_50%_pmax_sub
19,216,16.91177725555758,NO_SCOPF_50%_pmax_sub
19,217,27.1066723782111,NO_SCOPF_50%_pmax_sub
19,218,23.012625867325823,NO_SCOPF_50%_pmax_sub
19,220,16.08633039107326,NO_SCOPF_50%_pmax_sub
19,274,29.54421830485262,NO_SCOPF_50%_pmax_sub
20,60,29.358040439869058,NO_SCOPF_50%_pmax_sub
20,84,59.85796157593654,NO_SCOPF_50%_pmax_sub
20,86,68.42949352042024,NO_SCOPF_50%_pmax_sub
20,88,75.17255493143614,NO_SCOPF_50%_pmax_sub
20,89,56.97116882217392,NO_SCOPF_50%_pmax_sub
20,95,45.16124279041105,NO_SCOPF_50%_pmax_sub
20,97,76.86333108889198,NO_SCOPF_50%_pmax_sub
20,120,20.4300692827577,NO_SCOPF_50%_pmax_sub
20,121,77.80506928275793,NO_SCOPF_50%_pmax_sub
20,145,156.79944616204068,NO_SCOPF_50%_pmax_sub
20,216,66.253550257381,NO_SCOPF_50%_pmax_sub
20,217,75.17255493143614,NO_SCOPF_50%_pmax_sub
20,218,56.97116882217392,NO_SCOPF_50%_pmax_sub
20,220,45.16124279041105,NO_SCOPF_50%_pmax_sub
20,273,7.823691421192052,NO_SCOPF_50%_pmax_sub
20,274,81.37520906034797,NO_SCOPF_50%_pmax_sub
20,286,20.4300692827577,NO_SCOPF_50%_pmax_sub
20,292,77.80506928275793,NO_SCOPF_50%_pmax_sub
21,60,46.714991130833596,NO_SCOPF_50%_pmax_sub
