d1_cgm_objective,d0_objective,strategy,t
552822.0643398738,0.0,dynamic_gen,1
486733.61947045877,0.0,dynamic_gen,2
422543.63453965494,0.0,dynamic_gen,3
394897.6017953097,0.0,dynamic_gen,4
366509.78938368615,0.0,dynamic_gen,5
325657.7625561544,0.0,dynamic_gen,6
261293.11372563324,0.0,dynamic_gen,7
227137.68607029103,0.0,dynamic_gen,9
200383.99507426348,0.0,dynamic_gen,11
178413.36242161389,0.0,dynamic_gen,10
242887.55936862156,0.0,dynamic_gen,12
245143.88208942767,0.0,dynamic_gen,8
283066.8301933972,0.0,dynamic_gen,13
454872.64965064183,0.0,dynamic_gen,15
366675.13905371225,0.0,dynamic_gen,14
586751.8088455062,0.0,dynamic_gen,16
650972.9973359695,0.0,dynamic_gen,17
584417.6257595872,6647.869624944491,dynamic_gen,20
475523.0034519315,28854.41305524404,dynamic_gen,21
445919.0155439897,52641.90011370302,dynamic_gen,22
724056.3346073951,0.0,dynamic_gen,18
676794.8334609838,0.0,dynamic_gen,19
430187.3824366225,95639.21054080942,dynamic_gen,23
228794.83864604833,182335.8775065987,dynamic_gen,25
199896.4059481489,243204.06828111867,dynamic_gen,26
218408.97021498962,274932.4670636575,dynamic_gen,27
376975.7134897455,3.2162006391445175e-09,dynamic_gen,24
248184.1462787001,295937.0795482338,dynamic_gen,28
425965.22114217235,304047.58496120793,dynamic_gen,30
298190.17133712966,310320.50576793327,dynamic_gen,29
995769.7370792988,111319.85342042889,dynamic_gen,32
808862.5172847784,3.5299763112561777e-09,dynamic_gen,31
1197190.535078188,144238.236640258,dynamic_gen,34
1131154.4539735378,213554.15751888306,dynamic_gen,33
1219017.8286170296,93608.37794599528,dynamic_gen,35
1170098.2775304648,81910.83000401029,dynamic_gen,36
1140512.8600447858,70190.11463622651,dynamic_gen,37
1161101.51541246,61785.356629410526,dynamic_gen,38
1243482.0717445558,58468.04160137941,dynamic_gen,39
1377355.6144168372,78344.62199933021,dynamic_gen,40
1411677.9123707311,94247.19825102821,dynamic_gen,41
1494244.0808049391,62696.70823071267,dynamic_gen,44
1579555.3821612457,66326.43706728247,dynamic_gen,43
1552105.9668569583,69982.83284036804,dynamic_gen,42
1365399.0352786265,52838.58490141938,dynamic_gen,46
1400277.43269051,53340.94566606487,dynamic_gen,45
1253009.2186873178,56741.303966836334,dynamic_gen,47
1023682.2643228298,42013.43230579765,dynamic_gen,48
900948.9774206369,35967.25248802565,dynamic_gen,49
799545.273289103,14256.016819472094,dynamic_gen,51
819214.9261255,25574.627026391558,dynamic_gen,50
865940.0642309468,0.0,dynamic_gen,54
839967.8277075163,0.0,dynamic_gen,53
816391.7009517299,654.5017328655241,dynamic_gen,52
1197988.4920720214,6730.589460214831,dynamic_gen,56
1278783.0424143188,9244.856440171561,dynamic_gen,57
1031071.1238671658,568.7306593812174,dynamic_gen,55
1282709.6905165263,4017.5142206376113,dynamic_gen,58
1332722.8757760623,0.0,dynamic_gen,59
1403312.2074535992,0.0,dynamic_gen,60
1432396.552600885,0.0,dynamic_gen,61
1617202.2720110943,0.0,dynamic_gen,64
1631882.8862193672,248230.94150989281,dynamic_gen,67
1520566.577117001,0.0,dynamic_gen,63
1490480.9461323847,0.0,dynamic_gen,62
1725898.8056505856,322961.5167764736,dynamic_gen,66
1667136.8915517593,4006.7324580828517,dynamic_gen,65
1463950.1013553126,0.0,dynamic_gen,68
1310619.064045648,0.0,dynamic_gen,69
1072872.009520548,0.0,dynamic_gen,71
1194586.1777528473,0.0,dynamic_gen,70
619937.2634149542,0.0,dynamic_gen,74
848864.8813644927,0.0,dynamic_gen,72
692929.1913387323,0.0,dynamic_gen,73
587484.6398502397,0.0,dynamic_gen,75
650495.823805033,0.0,dynamic_gen,77
604497.0722055967,0.0,dynamic_gen,76
727506.805346519,0.0,dynamic_gen,78
1302527.7111199182,0.0,dynamic_gen,81
911634.9131857787,0.0,dynamic_gen,79
1194482.1213937504,0.0,dynamic_gen,80
1096047.1822456557,20870.1594786578,dynamic_gen,83
1149041.2144422894,9157.45029220348,dynamic_gen,82
1071396.5335061215,33200.41863809213,dynamic_gen,84
1182335.5676132762,68895.43374095196,dynamic_gen,86
1090700.839245039,58707.23611443139,dynamic_gen,85
1310335.0023106923,28929.74413518327,dynamic_gen,87
1509137.3323365417,80123.33775059256,dynamic_gen,88
1713999.101849827,396193.84868001845,dynamic_gen,90
1761411.1789123926,333018.8040134118,dynamic_gen,91
1559722.4602032527,287076.5725635741,dynamic_gen,89
1649808.9808318,287307.88080985466,dynamic_gen,92
1513274.031085456,266279.98925512,dynamic_gen,93
1324084.3659931733,0.0,dynamic_gen,95
1057778.7277337103,0.0,dynamic_gen,96
1444616.8556502317,235279.13303295843,dynamic_gen,94
886745.6887580948,0.0,dynamic_gen,97
799447.5067415829,0.0,dynamic_gen,98
805696.5385003395,0.0,dynamic_gen,102
766118.9992160101,0.0,dynamic_gen,99
767517.1121026385,0.0,dynamic_gen,101
761490.201480621,0.0,dynamic_gen,100
1040722.4169451194,0.0,dynamic_gen,103
1300508.4920643903,91753.5835554513,dynamic_gen,106
1271404.7706370172,176166.16860359808,dynamic_gen,107
1316239.4604058727,19339.56599680995,dynamic_gen,104
1443644.5881602555,239136.7998583035,dynamic_gen,105
1297471.332871278,226933.43600194663,dynamic_gen,108
1796653.2978299032,17014.70155057446,dynamic_gen,112
1458904.9974698345,178490.18967291008,dynamic_gen,110
1590011.0253413212,141048.604807352,dynamic_gen,111
1346291.586770035,226104.34669818802,dynamic_gen,109
2024572.1997248577,0.0,dynamic_gen,117
1966394.1560299906,0.0,dynamic_gen,113
2232799.39488492,0.0,dynamic_gen,114
2151642.3696449082,0.0,dynamic_gen,116
2263116.714366722,0.0,dynamic_gen,115
1901668.9179259818,0.0,dynamic_gen,118
1781446.5154872946,0.0,dynamic_gen,119
1529325.905622385,0.0,dynamic_gen,120
1143509.4926693046,0.0,dynamic_gen,122
1295786.009573217,0.0,dynamic_gen,121
1094190.9978921344,0.0,dynamic_gen,124
1138736.2046061861,0.0,dynamic_gen,125
1246133.1830551042,0.0,dynamic_gen,126
1084211.2238478072,0.0,dynamic_gen,123
1519983.0319033726,0.0,dynamic_gen,127
1793147.4887937666,0.0,dynamic_gen,128
1894719.6116356072,0.0,dynamic_gen,129
1767181.2268096225,130906.34670137541,dynamic_gen,130
1779851.8017251357,195105.99068671206,dynamic_gen,133
1708579.5842161411,192777.32772176794,dynamic_gen,131
1819341.087711176,136800.06728810462,dynamic_gen,134
1732105.342924853,234133.00357244245,dynamic_gen,132
2115074.728156996,153880.5774554949,dynamic_gen,137
1909274.8898243285,69297.56297420262,dynamic_gen,135
2063091.4488782587,74901.2964400938,dynamic_gen,136
2288528.0025571845,191482.42086342076,dynamic_gen,139
2316881.5154823726,182780.20098300767,dynamic_gen,138
2180110.0577511126,190143.53442062228,dynamic_gen,140
1938103.6180828433,208687.53475007124,dynamic_gen,142
1535905.4133516226,0.0,dynamic_gen,144
2027168.6482279461,190326.21586143284,dynamic_gen,141
1257757.958793736,0.0,dynamic_gen,146
1767630.5451478842,221038.1531520589,dynamic_gen,143
1192663.0257206135,0.0,dynamic_gen,147
1344511.434225343,0.0,dynamic_gen,145
1169230.0500178658,0.0,dynamic_gen,149
1196776.1066129284,0.0,dynamic_gen,148
1111117.2124493653,0.0,dynamic_gen,150
1148524.1274776487,0.0,dynamic_gen,152
1088810.2813105346,0.0,dynamic_gen,151
1337551.9265478423,0.0,dynamic_gen,155
1300860.0180208073,0.0,dynamic_gen,153
1377275.845895059,1789.6753357254995,dynamic_gen,157
1295247.8499578168,0.0,dynamic_gen,154
1362192.2096202783,0.0,dynamic_gen,156
1463486.1572580072,24240.38533891007,dynamic_gen,158
1646892.6882857648,113199.83123597555,dynamic_gen,160
1514441.7784788162,0.0,dynamic_gen,159
1793484.9724718155,210616.39747964108,dynamic_gen,162
1670355.8929079622,167996.13414912723,dynamic_gen,161
1306344.0529428856,0.0,dynamic_gen,167
1382621.8788477199,0.0,dynamic_gen,166
1510401.2209398006,0.0,dynamic_gen,165
1678408.0106059143,1147.8428359068403,dynamic_gen,164
1767840.089354687,259384.44643580075,dynamic_gen,163
1141332.1545289117,0.0,dynamic_gen,168
963196.6719509247,0.0,dynamic_gen,169
781218.4874040312,0.0,dynamic_gen,171
849150.3360247156,0.0,dynamic_gen,170
729849.5990510286,0.0,dynamic_gen,172
687328.5097279313,0.0,dynamic_gen,177
713280.8424948246,0.0,dynamic_gen,174
640211.2256645415,0.0,dynamic_gen,175
737722.9801964733,0.0,dynamic_gen,173
636845.5482248657,0.0,dynamic_gen,176
805324.2695635913,0.0,dynamic_gen,178
923354.8476788972,0.0,dynamic_gen,179
1031793.2426839583,0.0,dynamic_gen,180
1115615.70512114,0.0,dynamic_gen,181
1415959.7811690462,8535.737638379975,dynamic_gen,186
1083988.313549405,0.0,dynamic_gen,183
1088361.0963613812,9129.62613838679,dynamic_gen,184
1100755.6116177144,0.0,dynamic_gen,182
1174429.460089263,13283.90473348974,dynamic_gen,185
1451486.707867045,7850.833515653928,dynamic_gen,187
1410260.0587473998,21437.33399997083,dynamic_gen,188
1281588.2343379434,38373.919019203495,dynamic_gen,189
1221676.723496094,45854.22050494747,dynamic_gen,190
1177737.5078888806,43793.378716030726,dynamic_gen,191
1019052.9079205724,42610.09507239777,dynamic_gen,192
893463.0503933979,40362.134550806964,dynamic_gen,193
768555.4567972294,58626.23788806396,dynamic_gen,195
806140.8344200351,45362.797489712684,dynamic_gen,194
778046.4970914003,98173.03494123847,dynamic_gen,196
820878.0899610978,94244.34640074671,dynamic_gen,197
1314203.6617271705,132078.20664743567,dynamic_gen,199
1634473.935626462,133950.88484787388,dynamic_gen,201
1566274.7165826168,136970.9887429051,dynamic_gen,200
915834.6052485704,110727.60782184113,dynamic_gen,198
1571799.4385431875,139393.46267157514,dynamic_gen,203
1579852.9134788758,134648.78275390266,dynamic_gen,202
1567667.9572048793,233083.08028069005,dynamic_gen,206
1579143.921679582,205935.21128721838,dynamic_gen,204
1592582.1187409475,219918.09941087232,dynamic_gen,207
1562249.5288760634,246666.68282972774,dynamic_gen,205
1705769.409322943,329657.4291828452,dynamic_gen,210
1617352.062972847,273464.63850006077,dynamic_gen,209
1675939.1013783147,291212.35845927056,dynamic_gen,211
1617912.139237838,270429.0882319553,dynamic_gen,208
1577463.0752729378,255141.91892400317,dynamic_gen,212
