t,d2_objective,d1_mc_objective,n_total_candidates,n_initial_active,n_final_active,n_binding_final,n_screening_iterations
1,552822.0643398738,552822.0645131283,17627,65,65,0,1
2,486733.6194704583,486733.6196010423,17627,65,65,0,1
3,422543.63453965494,422543.63469881803,17627,65,65,0,1
4,394753.18248891196,394753.1826773009,17627,65,65,0,1
5,366492.91693542374,366492.9171515967,17627,65,65,0,1
6,325635.1205298011,325635.1207632668,17627,65,65,0,1
7,261293.11372563307,261293.11388510396,17627,65,65,0,1
8,245143.88208942776,245143.8822236414,17627,65,65,0,1
9,227137.68607029098,227137.68629482892,17627,65,65,0,1
10,178413.362421614,178413.36268980027,17627,65,65,0,1
11,200383.9950742636,200383.99531768577,17627,65,65,0,1
12,242887.55936862162,242887.559574464,17627,65,65,0,1
13,283066.8301933907,283066.83043074864,17627,65,65,0,1
14,366675.13905370515,366675.1392589023,17627,65,65,0,1
15,454872.649650642,454872.64989985735,17627,65,65,0,1
16,586751.8088455057,586751.8091094851,17627,65,65,0,1
17,650972.9973359688,650972.997626552,17627,65,65,0,1
18,724056.3346073942,724056.3349073951,17627,65,65,0,1
19,676794.8334609831,676794.8337609837,17627,65,65,0,1
20,574922.4688738622,581065.5467034269,17627,65,74,4,3
21,449068.32259332156,508676.108934648,17627,65,71,4,3
22,409216.6042782207,497399.99705091544,17627,65,74,4,3
23,380546.4194133071,506683.6555782817,17627,65,77,4,3
24,293661.0573442271,311919.5091574119,17627,65,72,4,2
25,228794.83864604833,235386.3556938051,17627,65,71,2,2
26,199896.4059481489,208645.1621857357,17627,65,71,2,2
27,219135.4858588287,229601.38850627706,17627,65,71,2,2
28,251426.03938265407,262889.9335009799,17627,65,72,2,2
29,303631.38532110536,322725.40287306596,17627,65,72,4,2
30,419854.7147998547,482706.7858299186,17627,65,73,3,2
31,669103.5906384301,746988.6576384361,17627,65,78,4,3
32,908546.3043210395,994112.7301024233,17627,65,77,4,3
33,1090284.1197978528,1194772.0459173378,17627,65,73,2,2
34,1160279.9578638312,1241955.798238165,17627,65,73,2,2
35,1183183.7127620564,1236580.032488652,17627,65,73,2,2
36,1141671.462060477,1169597.7121063678,17627,65,74,4,2
37,1118197.6108672835,1152805.748013326,17627,65,69,2,2
38,1145646.696882945,1187660.3759092777,17627,65,69,2,2
39,1231990.7646792482,1239867.8226427985,17627,65,69,2,2
40,1376918.1724508402,1386552.9587185609,17627,65,71,2,2
41,1410973.9037041399,1422571.726811453,17627,65,75,2,2
42,1551022.7569315713,1607838.839538599,17627,65,83,2,2
43,1578411.0485390364,1686218.0728873136,17627,65,83,2,2
44,1493467.4230939131,1525426.7926924778,17627,65,79,2,2
45,1399683.5634139664,1403074.5929180372,17627,65,79,2,2
46,1364769.9851107397,1369207.0241673891,17627,65,75,2,2
47,1252797.289142232,1253373.2928313771,17627,65,69,2,2
48,1008448.12033858,1030664.3573473829,17627,65,69,2,2
49,881904.6598827634,950910.9497115633,17627,65,71,2,2
50,799716.321562831,903522.0976566422,17627,65,69,2,2
51,785511.386908594,875566.0693477645,17627,65,69,2,2
52,810858.6248641913,864889.9442314599,17627,65,69,2,2
53,838489.092830682,872881.7801503232,17627,65,69,2,2
54,864573.7686927749,890445.148695674,17627,65,69,2,2
55,1030667.5577136923,1030667.5579800702,17627,65,65,0,1
56,1197988.4920720211,1197988.492372021,17627,65,65,0,1
57,1278649.0360111208,1279311.060605045,17627,65,67,2,2
58,1282568.1884681536,1283185.6091282591,17627,65,67,2,2
59,1332574.8785101164,1333009.6561956697,17627,65,69,2,2
60,1403140.984591038,1403373.4320526272,17627,65,75,2,2
61,1432268.8369602673,1432474.3113904633,17627,65,73,2,2
62,1490480.946132389,1490608.3765267273,17627,65,69,2,2
63,1520566.5771170002,1520630.2078826835,17627,65,67,2,2
64,1617202.2720110938,1617213.5246291438,17627,65,67,2,2
65,1667136.8915517593,1667140.1285723539,17627,65,67,2,2
66,1725898.805650585,1726969.478175534,17627,65,71,2,2
67,1631882.8862193674,1632407.5749219013,17627,65,71,2,2
68,1463950.1013553122,1463950.101604242,17627,65,65,0,1
69,1310619.0640456476,1310620.3019586874,17627,65,67,2,2
70,1194586.1777528485,1194661.5842318423,17627,65,69,2,2
71,1072872.0095205465,1072945.208903812,17627,65,67,2,2
72,848864.8813644928,848864.8816543667,17627,65,65,0,1
73,692410.2199110157,692570.556484382,17627,65,69,2,2
74,618887.8217918978,628119.5577037814,17627,65,69,2,2
75,586183.1177537055,612646.7861906886,17627,65,69,2,2
76,603476.9508345677,611364.1536849733,17627,65,69,2,2
77,649578.9991265329,650963.2326254414,17627,65,69,2,2
78,726889.8290397485,726941.5160921718,17627,65,67,2,2
79,911634.9131857785,911634.9134641401,17627,65,65,0,1
80,1194475.035291679,1194606.8202772862,17627,65,71,2,2
81,1302527.71111992,1303040.6164260386,17627,65,67,2,2
82,1148994.8300435643,1149224.0013863903,17627,65,69,2,2
83,1096005.8802311942,1096485.5024802354,17627,65,69,2,2
84,1071319.2089474564,1072296.6159764843,17627,65,69,2,2
85,1090523.9222863144,1091248.0768713085,17627,65,69,2,2
86,1182277.7797407375,1183123.435985897,17627,65,69,2,2
87,1310265.0703868777,1310531.7702604248,17627,65,70,2,2
88,1509028.3131830706,1509775.232686134,17627,65,71,2,2
89,1559543.8072428652,1576072.5695496872,17627,65,73,2,2
90,1713708.816776811,1714217.5776951038,17627,65,77,2,2
91,1761180.951227962,1761510.7565590814,17627,65,75,2,2
92,1649684.4376536284,1649916.0729922424,17627,65,69,2,2
93,1513274.0310854563,1513342.5552021018,17627,65,69,2,2
94,1444616.8556502317,1444755.980849034,17627,65,67,2,2
95,1324084.3659931729,1324084.3661945704,17627,65,65,0,1
96,1057778.727733712,1057778.728006114,17627,65,65,0,1
97,886745.6887580951,886745.6889776823,17627,65,65,0,1
98,799447.5067415831,799447.5069484726,17627,65,65,0,1
99,766118.9992160101,766118.9994268601,17627,65,65,0,1
100,761490.2014806209,761490.2016839276,17627,65,65,0,1
101,767517.1121026385,767517.1123344809,17627,65,65,0,1
102,805696.5385003395,805696.5387743365,17627,65,65,0,1
103,1040722.4169451249,1040722.4172451196,17627,65,65,0,1
104,1316239.4604058727,1316239.460618676,17627,65,65,0,1
105,1443602.5688722176,1443737.0704016576,17627,65,71,2,2
106,1300508.49206439,1300701.3570137531,17627,65,69,2,2
