t,total_demand_fbmc,total_renewables_fbmc,renewable_share_fbmc,mean_loading_d1,high_loading_share_d1,n_high_loading_lines_d1,n_lines_total_d1,demand_bin,renewables_bin,congestion_bin,strategy
1,12706.099999999999,3938.8190909999994,0.3099943405923139,0.25928545093988214,0.0,0,271,low,mid,low,dynamic_gen
2,12058.639999999996,4001.5502834999998,0.3318409276253376,0.26252875288293687,0.0036900369003690036,1,271,low,mid,low,dynamic_gen
3,11394.049999999997,4123.6804065,0.3619152458081192,0.2646414978466311,0.0036900369003690036,1,271,low,mid,low,dynamic_gen
4,11088.600000000006,4207.150392,0.37941222444672884,0.262340700010152,0.0036900369003690036,1,271,low,high,low,dynamic_gen
5,10744.099999999999,4281.913789499999,0.39853629336100743,0.2623776132980787,0.0036900369003690036,1,271,low,high,low,dynamic_gen
6,10226.93,4328.7836670000015,0.4232730317895988,0.2676906534389047,0.0036900369003690036,1,271,low,high,low,dynamic_gen
7,9474.259999999997,4479.552882000001,0.4728129565791948,0.26786319524231594,0.0036900369003690036,1,271,low,high,low,dynamic_gen
8,9354.459999999997,4670.408132902437,0.4992707364083483,0.26240677793872474,0.0036900369003690036,1,271,low,high,low,dynamic_gen
9,9577.999999999998,5232.925345620387,0.5463484386740852,0.2506787171746692,0.0,0,271,low,high,low,dynamic_gen
10,10468.550000000003,8164.051965422499,0.7798646388871904,0.2803750236721358,0.0,0,271,low,high,low,dynamic_gen
11,11570.099999999997,10441.811040735516,0.9024823502593339,0.2979694833338867,0.0036900369003690036,1,271,low,high,low,dynamic_gen
12,12853.450000000003,11595.563142824396,0.9021362469083705,0.3474076793051104,0.0036900369003690036,1,271,low,high,low,dynamic_gen
13,13602.789999999999,11788.459312437675,0.8666206941691871,0.36824532053521924,0.0036900369003690036,1,271,low,high,low,dynamic_gen
14,13948.150000000003,10508.638962622963,0.7534073667563771,0.3509664974267305,0.007380073800738007,2,271,low,high,low,dynamic_gen
15,14150.169999999998,9476.915058096021,0.669738600885786,0.3425671270252989,0.0036900369003690036,1,271,low,high,low,dynamic_gen
16,14310.550000000003,8037.589047622473,0.56165479646991,0.3487670342070655,0.0036900369003690036,1,271,low,high,low,dynamic_gen
17,14862.829999999996,8196.93006110475,0.5515053365412073,0.35811712092070996,0.0036900369003690036,1,271,low,high,low,dynamic_gen
18,15819.779999999993,8871.1651035,0.5607641258917636,0.3774103947868037,0.007380073800738007,2,271,low,high,low,dynamic_gen
19,15699.669999999995,9647.583897,0.6145087060428661,0.3969166010974368,0.04059040590405904,11,271,low,high,mid,dynamic_gen
20,14891.02,10375.656617999999,0.6967727273215669,0.39330811763895196,0.04797047970479705,13,271,low,high,mid,dynamic_gen
21,13718.060000000003,11027.651625,0.803878363631592,0.3887305063417189,0.05904059040590406,16,271,low,high,high,dynamic_gen
22,13375.230000000005,11663.112621,0.8719934252345564,0.40033339317441424,0.05904059040590406,16,271,low,high,high,dynamic_gen
23,13117.650000000003,12144.946798500003,0.9258477546283062,0.40254420834447313,0.08118081180811808,22,271,low,high,high,dynamic_gen
