variable,pearson_corr,spearman_corr,abs_pearson_corr,abs_spearman_corr,n_obs,strategy
max_line_loading,0.8420093748412616,0.9100444917494892,0.8420093748412616,0.9100444917494892,8606,NO_SCOPF_50%_pmax_sub
hourly_d1_overload_mw,0.7452450361071686,0.9081072023739806,0.7452450361071686,0.9081072023739806,8606,NO_SCOPF_50%_pmax_sub
hourly_d1_overloads,0.8004835232032782,0.8607321904097953,0.8004835232032782,0.8607321904097953,8606,NO_SCOPF_50%_pmax_sub
d0_objective,0.7269889637972811,0.8551657924051781,0.7269889637972811,0.8551657924051781,8606,NO_SCOPF_50%_pmax_sub
mean_line_loading,0.7917641521977444,0.80946607293031,0.7917641521977444,0.80946607293031,8606,NO_SCOPF_50%_pmax_sub
sum_abs_np_diff,0.6501847834129141,0.6881318789318441,0.6501847834129141,0.6881318789318441,8606,NO_SCOPF_50%_pmax_sub
total_renewables,0.6312712952217524,0.6108383909892846,0.6312712952217524,0.6108383909892846,8606,NO_SCOPF_50%_pmax_sub
total_demand,0.469897777792877,0.5655159926692805,0.469897777792877,0.5655159926692805,8606,NO_SCOPF_50%_pmax_sub
renewable_share,0.5142243586898205,0.49430097986021176,0.5142243586898205,0.49430097986021176,8606,NO_SCOPF_50%_pmax_sub
d1_cgm_objective,0.07760245476310473,0.17942777837499127,0.07760245476310473,0.17942777837499127,8606,NO_SCOPF_50%_pmax_sub
