variable,pearson_corr,spearman_corr,abs_pearson_corr,abs_spearman_corr,n_obs,strategy
sum_abs_np_diff,0.7994029652670593,0.9185121025721682,0.7994029652670593,0.9185121025721682,8704,SCOPF_dynamic_gen
max_line_loading,0.727251470001122,0.8133343161293782,0.727251470001122,0.8133343161293782,8704,SCOPF_dynamic_gen
mean_line_loading,0.6289779840703335,0.7725802026037533,0.6289779840703335,0.7725802026037533,8704,SCOPF_dynamic_gen
total_demand,0.46981046667213905,0.6460244752884945,0.46981046667213905,0.6460244752884945,8704,SCOPF_dynamic_gen
total_renewables,0.5211824021804381,0.5764008355682272,0.5211824021804381,0.5764008355682272,8704,SCOPF_dynamic_gen
renewable_share,0.3776026631900332,0.43371562564664906,0.3776026631900332,0.43371562564664906,8704,SCOPF_dynamic_gen
d1_cgm_objective,0.11354014906918411,0.2796269091723441,0.11354014906918411,0.2796269091723441,8704,SCOPF_dynamic_gen
hourly_d1_overloads,0.2341551019818449,0.2325614395369276,0.2341551019818449,0.2325614395369276,8704,SCOPF_dynamic_gen
hourly_d1_overload_mw,0.20031606095251855,0.23225125724416565,0.20031606095251855,0.23225125724416565,8704,SCOPF_dynamic_gen
d0_objective,0.12201048985674783,0.1452672431121162,0.12201048985674783,0.1452672431121162,8704,SCOPF_dynamic_gen
