variable,pearson_corr,spearman_corr,abs_pearson_corr,abs_spearman_corr,n_obs,strategy
sum_abs_np_diff,0.784349615481101,0.9140743303048111,0.784349615481101,0.9140743303048111,8738,SCOPF_pmax_sub
max_line_loading,0.7723154977296107,0.8061821603097978,0.7723154977296107,0.8061821603097978,8738,SCOPF_pmax_sub
mean_line_loading,0.6770847735845246,0.7729713994003047,0.6770847735845246,0.7729713994003047,8738,SCOPF_pmax_sub
total_renewables,0.6241801225433478,0.60730358394363,0.6241801225433478,0.60730358394363,8738,SCOPF_pmax_sub
total_demand,0.36007372949728905,0.5908280764643998,0.36007372949728905,0.5908280764643998,8738,SCOPF_pmax_sub
renewable_share,0.5166242659554761,0.47439720132106644,0.5166242659554761,0.47439720132106644,8738,SCOPF_pmax_sub
hourly_d1_overloads,0.36792848961059144,0.28059816831428075,0.36792848961059144,0.28059816831428075,8738,SCOPF_pmax_sub
hourly_d1_overload_mw,0.2940123380117046,0.2804410314442808,0.2940123380117046,0.2804410314442808,8738,SCOPF_pmax_sub
d1_cgm_objective,-0.047398169122187785,0.2019508184006388,0.047398169122187785,0.2019508184006388,8738,SCOPF_pmax_sub
d0_objective,0.21545114154060183,0.18912231208927507,0.21545114154060183,0.18912231208927507,8738,SCOPF_pmax_sub
