mean_abs_fbme_d1_cgm,total_demand,total_renewables,renewable_share,hourly_d1_overloads,hourly_d1_overload_mw,sum_abs_np_diff,mean_line_loading,max_line_loading,d1_cgm_objective,d0_objective,n_ptdf_rows_raw,n_unique_cnec_idx,n_matched_lines,status,reason,strategy,t
5.52631645738966e-13,28156.726012635976,10535.235591000002,0.3741640837884374,0,0.0,9.094947017729282e-13,0.25928545093988214,0.8309688548320808,552822.0643398738,0.0,267,89,89,ok,,dynamic_gen,1
1.2269768623688615e-12,26721.954223956418,10797.951283500002,0.4040853896014672,0,0.0,1.2278178473934531e-11,0.26252875288293687,0.9083653538914886,486733.61947045877,0.0,291,97,97,ok,,dynamic_gen,2
5.724554550642399e-13,25249.222343935195,10977.3964065,0.43476176244044784,0,0.0,6.821210263296962e-13,0.2646414978466311,0.9889451660173696,422543.63453965494,0.0,297,99,99,ok,,dynamic_gen,3
9.217428471841365e-13,24572.344941698502,11035.009392000002,0.44908247129780177,1,1.5347723092418164e-12,9.663381206337363e-12,0.262340700010152,1.0000000000000056,394897.6017953097,0.0,309,103,103,ok,,dynamic_gen,4
6.521045503549153e-13,23808.93271360702,11034.1742895,0.4634468257031055,1,2.1032064978498966e-12,2.9558577807620168e-12,0.2623776132980787,1.0000000000000075,366509.78938368615,0.0,306,102,102,ok,,dynamic_gen,5
5.566690840509449e-13,22662.883651191732,10962.464667,0.4837188786619189,1,1.6484591469634324e-12,3.410605131648481e-12,0.2676906534389047,1.0000000000000058,325657.7625561544,0.0,303,101,101,ok,,dynamic_gen,6
4.392070196086826e-13,20994.966432853238,10974.581382,0.5227244071620334,0,0.0,5.002220859751105e-12,0.26786319524231594,0.9414610142918062,261293.11372563324,0.0,336,112,112,ok,,dynamic_gen,7
4.776222760654354e-13,20729.48955353434,11126.775752200701,0.536760720685648,0,0.0,1.8189894035458565e-12,0.26240677793872474,0.9041491678326673,245143.88208942767,0.0,336,112,112,ok,,dynamic_gen,8
4.813020073146688e-13,21224.8543415389,12130.528565200208,0.5715247025964131,0,0.0,1.8189894035458565e-12,0.2506787171746692,0.78482947068959,227137.68607029103,0.0,336,112,112,ok,,dynamic_gen,9
8.376167118626124e-13,23198.31373116694,15675.495933486021,0.6757170419859435,0,0.0,8.86757334228605e-12,0.2803750236721358,0.7997846618828784,178413.36242161389,0.0,249,83,83,ok,,dynamic_gen,10
1.0455170895187132e-12,25639.3492604969,18303.951871473164,0.7139007969938792,0,0.0,1.2050804798491299e-11,0.2979694833338867,0.9532080900014194,200383.99507426348,0.0,249,83,83,ok,,dynamic_gen,11
4.036396384468521e-13,28483.25371019557,19618.710187564622,0.6887805159893693,1,8.299081576796311,333.4015535170429,0.3474076793051104,1.0296195626983349,242887.55936862156,0.0,249,83,83,ok,,dynamic_gen,12
29.565752870010055,30143.791646329293,19863.618311195652,0.6589621685370994,1,14.431117652588625,815.2571033803547,0.36824532053521924,1.051504903303156,283066.8301933972,0.0,249,83,83,ok,,dynamic_gen,13
1.487756336610585e-11,30909.109634990178,18329.418705912816,0.5930102459232045,0,0.0,1.9736035028472543e-10,0.3509664974267305,0.9140534737905869,366675.13905371225,0.0,330,110,110,ok,,dynamic_gen,14
7.695378643352421e-13,31356.786088746456,16523.958592580842,0.5269659507136504,0,0.0,4.547473508864641e-12,0.3425671270252989,0.9050581751485917,454872.64965064183,0.0,309,103,103,ok,,dynamic_gen,15
1.207775860969055e-12,31712.188274933127,14267.4051627664,0.4499028903042953,0,0.0,1.2278178473934531e-11,0.3487670342070655,0.9161231882067519,586751.8088455062,0.0,291,97,97,ok,,dynamic_gen,16
1.6434849804335235e-12,32936.04112059456,14310.73506110475,0.4345007649433738,0,0.0,1.5916157281026244e-11,0.35811712092070996,0.8897875011623111,650972.9973359695,0.0,282,94,94,ok,,dynamic_gen,17
1.8991546123879965e-12,35056.64295418567,15102.4576035,0.4308015922470638,0,0.0,2.091837814077735e-11,0.3774103947868037,0.9019671743543112,724056.3346073951,0.0,270,90,90,ok,,dynamic_gen,18
1.7023205060476556e-12,34790.47911466151,15991.344897,0.45964715933621275,0,0.0,1.8417267710901797e-11,0.3969166010974368,0.9864549026108449,676794.8334609838,0.0,291,97,97,ok,,dynamic_gen,19
49.463614165527794,32998.51017925899,16655.978118,0.5047493970945698,3,33.032442417091545,1785.6723001005405,0.39330811763895196,1.0746807866189405,584417.6257595872,6647.869624944491,297,99,99,ok,,dynamic_gen,20
31.433372700548464,30399.230042648887,17147.873625,0.5640890772872282,5,77.33223891878805,1442.3298502702185,0.3887305063417189,1.148333959046536,475523.0034519315,28854.41305524404,291,97,97,ok,,dynamic_gen,21
65.94145786276776,29639.51853566312,17619.963621,0.5944753657114623,7,143.4493074508539,2850.72608894949,0.40033339317441424,1.2206151710806012,445919.0155439897,52641.90011370302,261,87,87,ok,,dynamic_gen,22
29.035380249421817,29068.721085120866,17965.5422985,0.6180369011038417,7,235.70519036319342,787.389672049906,0.40254420834447313,1.2692506820371243,430187.3824366225,95639.21054080942,333,111,111,ok,,dynamic_gen,23
11.230154317494712,26348.270032307468,18134.8498635,0.6882747839331989,10,333.85328709084206,3.979039320256561e-11,0.4093396341007392,1.289929460249441,376975.7134897455,3.2162006391445175e-09,336,112,112,ok,,dynamic_gen,24
57.51939884283674,24184.744265891597,18270.609534,0.7554601087830206,14,541.460171644083,1345.2576837055412,0.4417413638844582,1.3511342152188146,228794.83864604833,182335.8775065987,51,17,17,ok,,dynamic_gen,25
72.00550339623865,23246.821985660197,18557.086346999997,0.7982633651364017,15,756.2545498777347,1697.5374415006852,0.45482377402265456,1.3949308331777157,199896.4059481489,243204.06828111867,51,17,17,ok,,dynamic_gen,26
79.3797038967081,23838.893042558535,18849.800496,0.7907162661600216,17,880.9937263050135,1870.6847152174169,0.4639440396534163,1.4232034208290387,218408.97021498962,274932.4670636575,51,17,17,ok,,dynamic_gen,27
84.40590518446103,24780.33876384266,19127.4680085,0.771880812073851,17,963.1763799622847,1985.2929281087859,0.4698915824893877,1.4458352859812056,248184.1462787001,295937.0795482338,51,17,17,ok,,dynamic_gen,28
65.02550871425271,26088.37747465705,19277.052043500003,0.7389134131559638,17,1020.5721949890012,2060.9766953732537,0.47648026118376585,1.4656234626553823,298190.17133712966,310320.50576793327,210,70,70,ok,,dynamic_gen,29
63.06411094574301,29054.09548075105,19366.289413499995,0.6665597084696913,20,1002.2259690479866,2002.9010445651588,0.4742984455563481,1.4782628799483484,425965.22114217235,304047.58496120793,210,70,70,ok,,dynamic_gen,30
50.8898866690786,34427.71980627669,19386.347391000007,0.5631028572349884,15,643.2977847964639,1416.1700164485756,0.4276858407789786,1.4302249299150371,808862.5172847784,3.5299763112561777e-09,294,98,98,ok,,dynamic_gen,31
11.982308029715119,39780.934765704435,19470.88434367757,0.48945266013365846,10,416.38241981082626,6.650680006714538e-12,0.4498983672001789,1.370532107258331,995769.7370792988,111319.85342042889,270,90,90,ok,,dynamic_gen,32
14.146815840989552,43931.34888576066,19755.71498020485,0.4496951603188359,9,426.865424896016,1.4779288903810084e-11,0.4720874180507513,1.4280569449702782,1131154.4539735378,213554.15751888306,267,89,89,ok,,dynamic_gen,33
9.419963142475162,46051.285919153124,20202.053896425572,0.4386859887450692,11,336.2852701523368,1.77351466845721e-11,0.47923825798677766,1.3942174226545772,1197190.535078188,144238.236640258,255,85,85,ok,,dynamic_gen,34
9.375557395271418,47106.56759444908,20569.805632643212,0.4366653458968449,11,271.55240221908457,5.9117155615240335e-12,0.47961932213737923,1.362724789734771,1219017.8286170296,93608.37794599528,246,82,82,ok,,dynamic_gen,35
