t,n_ptdf_rows_raw,n_unique_cnec_idx,n_matched_lines,status,reason,mean_abs_fbme_d1_cgm
1,267,89,89,ok,,5.52631645738966e-13
2,291,97,97,ok,,1.2269768623688615e-12
3,297,99,99,ok,,5.724554550642399e-13
4,309,103,103,ok,,9.217428471841365e-13
5,306,102,102,ok,,6.521045503549153e-13
6,303,101,101,ok,,5.566690840509449e-13
7,336,112,112,ok,,4.392070196086826e-13
8,336,112,112,ok,,4.776222760654354e-13
9,336,112,112,ok,,4.813020073146688e-13
10,249,83,83,ok,,8.376167118626124e-13
11,249,83,83,ok,,1.0455170895187132e-12
12,249,83,83,ok,,4.036396384468521e-13
13,249,83,83,ok,,29.565752870010055
14,330,110,110,ok,,1.487756336610585e-11
15,309,103,103,ok,,7.695378643352421e-13
16,291,97,97,ok,,1.207775860969055e-12
17,282,94,94,ok,,1.6434849804335235e-12
18,270,90,90,ok,,1.8991546123879965e-12
19,291,97,97,ok,,1.7023205060476556e-12
20,297,99,99,ok,,49.463614165527794
21,291,97,97,ok,,31.433372700548464
22,261,87,87,ok,,65.94145786276776
23,333,111,111,ok,,29.035380249421817
24,336,112,112,ok,,11.230154317494712
25,51,17,17,ok,,57.51939884283674
26,51,17,17,ok,,72.00550339623865
27,51,17,17,ok,,79.3797038967081
28,51,17,17,ok,,84.40590518446103
29,210,70,70,ok,,65.02550871425271
30,210,70,70,ok,,63.06411094574301
31,294,98,98,ok,,50.8898866690786
32,270,90,90,ok,,11.982308029715119
33,267,89,89,ok,,14.146815840989552
34,255,85,85,ok,,9.419963142475162
35,246,82,82,ok,,9.375557395271418
36,264,88,88,ok,,16.607795903679776
37,270,90,90,ok,,17.43176246840407
38,267,89,89,ok,,6.915146120300249
39,270,90,90,ok,,10.804257383106105
40,213,71,71,ok,,19.51103803141601
41,204,68,68,ok,,26.976789056810382
42,201,67,67,ok,,50.878623929819554
43,207,69,69,ok,,47.247896079492264
44,198,66,66,ok,,37.85848165005458
45,198,66,66,ok,,16.009641956927066
46,204,68,68,ok,,11.76188212994029
47,204,68,68,ok,,14.732267024875734
48,255,85,85,ok,,18.492407020354694
49,279,93,93,ok,,66.3767600995895
50,291,97,97,ok,,71.47949596488434
51,291,97,97,ok,,72.20544841817086
52,291,97,97,ok,,51.14138458262318
53,288,96,96,ok,,1.6786854695016802
54,288,96,96,ok,,2.460706173470549
55,267,89,89,ok,,4.006506903856562
56,210,70,70,ok,,4.41476752904655
57,195,65,65,ok,,4.698758670510443
58,195,65,65,ok,,3.7207126409647295
59,189,63,63,ok,,1.7949128429094678
60,192,64,64,ok,,7.334320618522045e-13
61,186,62,62,ok,,6.86392894768006e-13
62,189,63,63,ok,,8.033302169168954e-12
63,189,63,63,ok,,2.238005164212389e-12
64,189,63,63,ok,,1.4529311874837208e-12
65,189,63,63,ok,,20.303356854395414
66,177,59,59,ok,,82.07598277939645
67,177,59,59,ok,,67.69309105241724
68,189,63,63,ok,,9.164938279732239
69,189,63,63,ok,,1.4802145185125889e-12
70,189,63,63,ok,,2.469501044882902e-12
71,186,62,62,ok,,2.580913349347613e-12
72,234,78,78,ok,,8.968397422533512e-13
73,270,90,90,ok,,1.0162241965057838e-12
74,288,96,96,ok,,3.833911060985271
75,288,96,96,ok,,2.886541338925485
76,288,96,96,ok,,2.101944517149898e-12
77,276,92,92,ok,,1.4812494156896368e-12
78,267,89,89,ok,,1.4364006840081086e-12
79,198,66,66,ok,,7.749114955743501e-13
80,189,63,63,ok,,0.5565318629159065
81,189,63,63,ok,,12.719033261909578
82,189,63,63,ok,,29.95805903999206
83,201,67,67,ok,,33.88749558979551
84,204,68,68,ok,,32.681749273509304
85,258,86,86,ok,,52.80179686682978
86,210,70,70,ok,,39.935855012375164
87,189,63,63,ok,,36.957293354074835
88,183,61,61,ok,,17.515126370038228
89,180,60,60,ok,,54.863774876541044
90,189,63,63,ok,,88.64306794364721
91,189,63,63,ok,,72.96600894892093
92,174,58,58,ok,,42.64065065962034
93,180,60,60,ok,,46.97183431351547
94,180,60,60,ok,,55.64613748706048
95,189,63,63,ok,,1.7633514400007202
96,189,63,63,ok,,3.4009218548468364e-12
97,189,63,63,ok,,7.813730845256195e-13
98,225,75,75,ok,,7.714784256878505e-13
99,267,89,89,ok,,5.556491544941829e-13
100,267,89,89,ok,,9.207856920555778e-13
101,267,89,89,ok,,5.94366785709685e-13
102,198,66,66,ok,,5.809627018877192e-13
103,189,63,63,ok,,1.1555809158724848e-11
104,189,63,63,ok,,19.6104461049136
105,189,63,63,ok,,33.97493553602763
106,189,63,63,ok,,38.96120523343257
107,189,63,63,ok,,47.17300396852988
108,201,67,67,ok,,54.275936897724776
109,189,63,63,ok,,43.82665046303049
110,189,63,63,ok,,39.70494663082662
111,186,62,62,ok,,101.79618661177807
112,171,57,57,ok,,30.373632105473778
113,192,64,64,ok,,8.562011964530392
114,192,64,64,ok,,6.914956241816287e-12
115,192,64,64,ok,,5.831192391292898e-12
116,192,64,64,ok,,8.645412156548432e-13
117,186,62,62,ok,,1.506896720864118e-13
118,180,60,60,ok,,2.865111337523667e-13
119,180,60,60,ok,,2.671629418638008e-13
120,171,57,57,ok,,6.962737924135414e-13
121,183,61,61,ok,,3.170960408327886e-13
122,189,63,63,ok,,1.7209194151270852e-13
123,189,63,63,ok,,2.7983886442043106e-13
124,189,63,63,ok,,1.5139420495762824e-13
125,189,63,63,ok,,1.577511330520231e-13
126,189,63,63,ok,,3.463254714169876e-13
127,174,58,58,ok,,2.170657072645769e-13
128,180,60,60,ok,,9.923903224825889
129,174,58,58,ok,,12.53152528983859
130,195,65,65,ok,,84.47115365163714
131,195,65,65,ok,,90.39902854475464
132,201,67,67,ok,,90.10185392628786
133,201,67,67,ok,,102.77932711707899
134,201,67,67,ok,,85.2688921749053
135,177,59,59,ok,,47.623383943428955
136,192,64,64,ok,,38.95849899512324
137,186,62,62,ok,,49.25794020782204
138,192,64,64,ok,,53.56016013807763
139,192,64,64,ok,,59.59199676739243
